Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol;Perubahan
01/01/2025;7.109,20;7.092,43;7.324,63;6.956,67;301,28B;+0.41%
01/12/2024;7.079,90;7.117,75;7.530,56;6.931,58;304,11B;-0.48%
01/11/2024;7.114,27;7.573,79;7.583,69;7.107,28;404,53B;-6.07%
01/10/2024;7.574,02;7.551,46;7.805,92;7.449,48;493,72B;+0.61%
01/09/2024;7.527,93;7.686,54;7.910,56;7.527,93;402,25B;-1.86%
01/08/2024;7.670,73;7.274,52;7.715,76;6.998,81;328,24B;+5.72%
01/07/2024;7.255,76;7.076,63;7.354,16;7.075,38;333,21B;+2.72%
01/06/2024;7.063,58;7.030,21;7.149,19;6.698,85;259,73B;+1.33%
01/05/2024;6.970,74;7.187,41;7.374,55;6.959,23;289,33B;-3.64%
01/04/2024;7.234,20;7.286,11;7.298,86;7.021,49;217,92B;-0.75%
01/03/2024;7.288,81;7.318,67;7.454,45;7.238,34;268,86B;-0.37%
01/02/2024;7.316,11;7.221,85;7.370,88;7.180,36;283,89B;+1.50%
01/01/2024;7.207,94;7.268,40;7.403,58;7.099,08;333,65B;-0.89%
01/12/2023;7.272,80;7.080,06;7.309,78;7.022,77;420,06B;+2.71%
01/11/2023;7.080,74;6.751,94;7.109,61;6.639,82;390,64B;+4.87%
01/10/2023;6.752,21;6.939,89;6.992,63;6.666,41;396,29B;-2.70%
01/09/2023;6.939,89;6.953,26;7.046,48;6.900,59;346,75B;-0.19%
01/08/2023;6.953,26;6.931,08;7.008,49;6.823,75;370,59B;+0.32%
01/07/2023;6.931,36;6.661,74;6.966,17;6.660,82;306,44B;+4.05%
01/06/2023;6.661,88;6.633,26;6.744,64;6.578,76;268,60B;+0.43%
01/05/2023;6.633,26;6.915,72;6.920,34;6.562,96;381,39B;-4.08%
01/04/2023;6.915,72;6.805,28;6.971,91;6.735,19;190,75B;+1.62%
01/03/2023;6.805,28;6.843,10;6.889,51;6.542,79;323,05B;-0.55%
01/02/2023;6.843,24;6.838,92;6.961,92;6.781,23;324,33B;+0.06%
01/01/2023;6.839,34;6.850,74;6.932,71;6.557,92;330,67B;-0.16%
01/12/2022;6.850,62;7.081,19;7.090,28;6.641,81;341,62B;-3.26%
01/11/2022;7.081,31;7.098,93;7.128,14;6.955,53;397,76B;-0.25%
01/10/2022;7.098,89;7.040,80;7.135,91;6.747,38;424,48B;+0.83%
01/09/2022;7.040,80;7.178,59;7.377,50;6.926,86;583,83B;-1.92%
01/08/2022;7.178,59;6.951,12;7.230,11;6.902,63;526,65B;+3.27%
01/07/2022;6.951,12;6.911,58;7.032,35;6.559,64;400,21B;+0.57%
01/06/2022;6.911,58;7.130,60;7.258,00;6.859,60;488,88B;-3.32%
01/05/2022;7.148,97;7.154,92;7.156,48;6.509,88;303,22B;-1.11%
01/04/2022;7.228,91;7.093,70;7.355,30;7.040,49;414,23B;+2.23%
01/03/2022;7.071,44;6.964,70;7.099,50;6.814,18;462,33B;+2.66%
01/02/2022;6.888,17;6.657,79;6.929,91;6.648,08;405,29B;+3.88%
01/01/2022;6.631,15;6.586,26;6.738,11;6.523,93;371,37B;+0.75%
01/12/2021;6.581,48;6.544,52;6.688,38;6.484,58;437,38B;+0.73%
01/11/2021;6.533,93;6.618,12;6.754,46;6.480,01;418,82B;-0.87%
01/10/2021;6.591,35;6.269,24;6.687,13;6.202,91;396,07B;+4.84%
01/09/2021;6.286,94;6.157,82;6.286,94;5.982,77;435,97B;+2.22%
01/08/2021;6.150,30;6.098,01;6.263,54;5.938,41;421,90B;+1.32%
01/07/2021;6.070,04;6.001,12;6.166,31;5.947,62;322,57B;+1.41%
01/06/2021;5.985,49;6.002,48;6.134,88;5.884,92;398,06B;+0.64%
01/05/2021;5.947,46;5.999,66;6.005,09;5.742,04;245,34B;-0.80%
01/04/2021;5.995,62;5.988,02;6.115,62;5.883,52;281,33B;+0.17%
01/03/2021;5.985,52;6.281,86;6.394,45;5.892,65;345,15B;-4.11%
01/02/2021;6.241,80;5.856,78;6.314,56;5.735,47;305,61B;+6.47%
01/01/2021;5.862,35;5.997,83;6.504,99;5.825,29;442,92B;-1.95%
01/12/2020;5.979,07;5.637,89;6.195,15;5.594,28;435,44B;+6.53%
01/11/2020;5.612,42;5.108,03;5.798,29;5.073,50;355,15B;+9.44%
01/10/2020;5.128,23;4.899,64;5.182,53;4.881,91;186,53B;+5.30%
01/09/2020;4.870,04;5.238,49;5.337,10;4.754,80;210,23B;-7.03%
01/08/2020;5.238,49;5.149,63;5.381,95;4.928,47;180,69B;+1.73%
01/07/2020;5.149,63;4.905,39;5.162,98;4.885,60;165,44B;+4.98%
01/06/2020;4.905,39;4.753,61;5.139,41;4.712,07;155,51B;+3.19%
01/05/2020;4.753,61;4.716,40;4.755,96;4.460,27;83,82B;+0.79%
01/04/2020;4.716,40;4.538,93;4.975,54;4.393,67;109,93B;+3.91%
01/03/2020;4.538,93;5.455,05;5.715,94;3.911,72;91,61B;-16.76%
01/02/2020;5.452,70;5.920,97;6.013,70;5.288,37;72,62B;-8.20%
01/01/2020;5.940,05;6.313,13;6.348,53;5.937,02;92,53B;-5.71%
01/12/2019;6.299,54;6.023,61;6.337,34;6.023,01;93,40B;+4.79%
01/11/2019;6.011,83;6.225,81;6.274,29;5.939,40;135,76B;-3.48%
01/10/2019;6.228,32;6.163,98;6.348,31;5.988,87;287,90B;+0.96%
01/09/2019;6.169,10;6.331,15;6.414,48;6.086,00;234,01B;-2.52%
01/08/2019;6.328,47;6.385,26;6.404,58;6.022,60;246,72B;-0.97%
01/07/2019;6.390,50;6.381,18;6.468,25;6.283,60;303,57B;+0.50%
01/06/2019;6.358,63;6.277,29;6.377,35;6.190,52;153,94B;+2.41%
01/05/2019;6.209,12;6.458,12;6.465,77;5.767,40;193,22B;-3.81%
01/04/2019;6.455,35;6.485,72;6.636,33;6.321,66;193,43B;-0.21%
01/03/2019;6.468,75;6.468,62;6.537,23;6.337,87;198,76B;+0.39%
01/02/2019;6.443,35;6.552,06;6.581,73;6.374,90;195,52B;-1.37%
01/01/2019;6.532,97;6.197,87;6.544,48;6.164,83;202,72B;+5.46%
01/12/2018;6.194,50;6.118,06;6.212,13;6.014,79;122,01B;+2.28%
01/11/2018;6.056,12;5.855,22;6.117,19;5.747,53;139,19B;+3.85%
01/10/2018;5.831,65;5.950,86;5.982,06;5.623,84;153,96B;-2.42%
01/09/2018;5.976,55;6.025,41;6.026,92;5.621,60;121,00B;-0.70%
01/08/2018;6.018,46;5.952,94;6.117,29;5.689,94;125,76B;+1.38%
01/07/2018;5.936,44;5.828,50;6.027,94;5.557,56;132,06B;+2.37%
01/06/2018;5.799,24;6.004,12;6.116,43;5.661,01;80,01B;-3.08%
01/05/2018;5.983,59;5.999,36;6.095,83;5.716,65;128,85B;-0.18%
01/04/2018;5.994,60;6.194,51;6.380,35;5.885,34;136,24B;-3.14%
01/03/2018;6.188,99;6.605,31;6.630,13;6.085,21;166,91B;-6.19%
01/02/2018;6.597,22;6.625,35;6.693,47;6.426,76;205,58B;-0.13%
01/01/2018;6.605,63;6.366,08;6.686,35;6.220,69;189,42B;+3.93%
01/12/2017;6.355,65;6.014,06;6.368,32;5.979,48;101,31B;+6.78%
01/11/2017;5.952,14;6.017,04;6.098,78;5.952,14;134,02B;-0.89%
01/10/2017;6.005,78;5.917,75;6.042,45;5.860,76;136,39B;+1.78%
01/09/2017;5.900,85;5.858,21;5.928,79;5.774,31;111,18B;+0.63%
01/08/2017;5.864,06;5.853,51;5.916,82;5.749,29;130,70B;+0.40%
01/07/2017;5.840,94;5.846,60;5.910,24;5.756,51;98,94B;+0.19%
01/06/2017;5.829,71;5.749,42;5.831,34;5.668,72;74,57B;+1.60%
01/05/2017;5.738,15;5.703,87;5.874,44;5.577,52;132,92B;+0.93%
01/04/2017;5.685,30;5.583,35;5.726,53;5.577,49;126,79B;+2.10%
01/03/2017;5.568,11;5.389,17;5.606,02;5.350,91;182,09B;+3.37%
01/02/2017;5.386,69;5.319,94;5.418,38;5.317,50;331,63B;+1.75%
01/01/2017;5.294,10;5.290,39;5.360,06;5.228,29;252,89B;-0.05%
01/12/2016;5.296,71;5.168,63;5.334,79;5.022,85;127,39B;+2.87%
01/11/2016;5.148,91;5.430,75;5.491,70;5.043,35;198,64B;-5.05%
01/10/2016;5.422,54;5.403,86;5.482,84;5.332,08;208,10B;+1.08%
01/09/2016;5.364,80;5.368,52;5.474,31;5.128,17;99,83B;-0.40%
01/08/2016;5.386,08;5.280,21;5.476,22;5.279,59;130,29B;+3.26%
01/07/2016;5.215,99;5.027,62;5.334,12;4.971,58;82,08B;+3.97%
01/06/2016;5.016,65;4.801,85;5.033,24;4.754,36;102,55B;+4.58%
01/05/2016;4.796,87;4.828,96;4.845,12;4.690,56;66,16B;-0.86%
01/04/2016;4.838,58;4.843,39;4.920,40;4.766,81;86,92B;-0.14%
01/03/2016;4.845,37;4.760,24;4.908,26;4.757,80;83,63B;+1.56%
01/02/2016;4.770,96;4.620,15;4.803,61;4.545,14;63,65B;+3.38%
01/01/2016;4.615,16;4.580,17;4.639,24;4.408,80;53,13B;+0.48%
01/12/2015;4.593,01;4.504,22;4.595,51;4.330,76;45,64B;+3.30%
01/11/2015;4.446,46;4.442,42;4.621,26;4.395,97;59,94B;-0.20%
01/10/2015;4.455,18;4.231,41;4.696,16;4.207,80;91,85B;+5.48%
01/09/2015;4.223,91;4.484,20;4.484,79;4.033,59;70,83B;-6.34%
01/08/2015;4.509,61;4.778,04;4.868,07;4.111,11;71,84B;-6.10%
01/07/2015;4.802,53;4.924,07;4.982,91;4.711,49;63,44B;-2.20%
01/06/2015;4.910,66;5.212,13;5.215,55;4.826,13;68,55B;-5.86%
01/05/2015;5.216,38;5.093,33;5.347,13;5.089,42;77,16B;+2.55%
01/04/2015;5.086,42;5.516,80;5.524,04;5.015,01;90,22B;-7.83%
01/03/2015;5.518,67;5.452,83;5.518,67;5.350,47;99,81B;+1.25%
01/02/2015;5.450,29;5.277,15;5.464,22;5.254,04;81,35B;+3.04%
01/01/2015;5.289,40;5.233,80;5.325,04;5.121,81;110,07B;+1.19%
01/12/2014;5.226,95;5.150,38;5.226,95;5.005,27;100,99B;+1.50%
01/11/2014;5.149,89;5.102,54;5.157,08;4.965,39;80,04B;+1.19%
01/10/2014;5.089,55;5.148,57;5.165,39;4.900,72;75,97B;-0.93%
01/09/2014;5.137,58;5.159,94;5.262,57;5.082,73;78,63B;+0.01%
01/08/2014;5.136,86;5.076,23;5.223,98;5.043,52;71,65B;+0.94%
01/07/2014;5.088,80;4.877,65;5.165,42;4.862,42;76,99B;+4.31%
01/06/2014;4.878,58;4.900,97;4.971,95;4.835,04;59,40B;-0.31%
01/05/2014;4.893,91;4.845,34;5.091,32;4.828,22;62,43B;+1.11%
01/04/2014;4.840,15;4.796,16;4.933,11;4.721,60;76,67B;+1.51%
01/03/2014;4.768,28;4.589,62;4.903,50;4.567,76;87,28B;+3.20%
01/02/2014;4.620,22;4.407,00;4.665,27;4.320,78;69,94B;+4.56%
01/01/2014;4.418,76;4.294,49;4.510,22;4.161,19;58,07B;+3.38%
